"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat -c -m -n --output task_1_1.csv 30",,,,"Date:","09 Oct 2021 12:16:28 CDT"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","buff","cach","recv","send"
0.569,0.172,99.066,0.016,0.177,252522496,10767589376,194170880,5357199360,0,0
0.695,0.728,98.310,0.013,0.254,252538880,10767564800,194174976,5357203456,12080.633,322.133
17.510,6.262,75.966,0.013,0.249,949809152,10070290432,194174976,5361405952,36994775.167,36982513.467
32.465,9.405,57.805,0.007,0.318,962617344,10057474048,194183168,5361217536,88765964.100,87811326.800
33.342,9.586,56.760,0,0.311,931700736,10088386560,194187264,5361217536,85073506.067,85995476
32.248,10.101,57.338,0.007,0.306,949157888,10070929408,194187264,5361217536,88765758.033,88400433.733
33.798,9.262,56.628,0.007,0.305,948948992,10071134208,194191360,5361217536,86114515.100,86265714.400
32.303,9.334,58.045,0.014,0.304,965902336,10054176768,194195456,5361217536,86783866.233,86943829.333
34.859,9.369,55.447,0.007,0.319,965120000,10054950912,194203648,5361217536,89720519.033,89700583.200
32.313,9.419,57.956,0.007,0.305,995246080,10024820736,194207744,5361405952,88769447.767,88750515.333
34.489,9.411,55.802,0.014,0.284,813375488,10206687232,194211840,5361065984,73980107.333,73960259.333
46.471,1.121,52.187,0.007,0.215,178331648,10841731072,194211840,5357207552,13814.400,366.800
0.140,0.160,99.500,0.007,0.193,178782208,10841272320,194220032,5357207552,14839.967,736.733
