"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat -c -m -n --output task_1_w.csv 30",,,,"Date:","10 Oct 2021 13:35:02 CDT"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","buff","cach","recv","send"
2.259,0.337,97.211,0.015,0.178,722989056,9168011264,212873216,6444523520,0,0
34.543,5.790,59.453,0.013,0.201,1396113408,8494874624,212877312,6444535808,13985.267,303.133
38.303,2.669,58.828,0.007,0.194,1383665664,8507318272,212881408,6444539904,13358.800,293.467
37.278,3.304,59.211,0.020,0.187,1400807424,8490225664,212897792,6444535808,12952.400,313.800
37.993,2.863,58.943,0.013,0.187,1335918592,8555110400,212901888,6441525248,14238.933,291.667
37.535,3.110,59.168,0.007,0.181,1417555968,8473432064,212910080,6444535808,13389.433,291.667
37.868,2.983,58.929,0.007,0.214,1447645184,8443387904,212914176,6444670976,12879.633,293.067
38.007,2.822,58.970,0.007,0.194,1417928704,8473051136,212918272,6444531712,12435.167,297.033
38.044,2.802,58.959,0.007,0.187,1365520384,8525438976,212922368,6444675072,13553.167,298.133
37.948,2.849,58.989,0.007,0.207,1404080128,8486875136,212926464,6444535808,12658.933,301.867
37.176,3.463,59.147,0.040,0.174,1406402560,8484544512,212938752,6444670976,13334.367,293.467
37.215,3.378,59.227,0.013,0.167,1453076480,8437829632,212942848,6444535808,14474.700,291.667
36.159,4.339,59.381,0.007,0.114,1390088192,8500727808,212951040,6444535808,14280.467,295.133
37.069,3.613,59.178,0.013,0.127,1393618944,8497164288,212967424,6444675072,15065.567,300.133
38.162,2.595,59.022,0.020,0.201,1402253312,8488521728,212975616,6444531712,14143.767,291.667
37.888,2.888,58.991,0.007,0.227,1427009536,8463761408,212979712,6444535808,15155.667,301.867
37.880,2.815,59.198,0.007,0.100,1387511808,8503250944,212987904,6444535808,15334.900,295.133
37.814,2.896,59.183,0.007,0.100,1469784064,8421036032,212996096,6444535808,14068.533,300.033
39.616,1.505,58.698,0.013,0.167,1415307264,8475508736,213000192,6444396544,13776.767,291.667
37.099,3.525,59.268,0,0.107,1359937536,8530870272,213008384,6444535808,16038.200,296.933
36.524,3.752,59.524,0.040,0.161,1539371008,8351432704,213028864,6444670976,14544.800,291.667
28.721,0.548,70.537,0.013,0.180,195592192,9695326208,213045248,6428729344,14329.400,308.867
