"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat -c -m -n --output task_2_epoch.csv 30",,,,"Date:","10 Oct 2021 12:33:50 CDT"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","buff","cach","recv","send"
2.106,0.303,97.399,0.015,0.177,268607488,9623564288,211898368,6428663808,0,0
0.582,0.669,98.461,0.020,0.268,268701696,9623457792,211898368,6428667904,13031.233,325.600
16.040,6.452,77.239,0.013,0.256,960880640,8931270656,211902464,6432681984,36047856.433,35415521.533
34.354,9.361,55.899,0.068,0.318,975536128,8916688896,211927040,6432870400,89718146.900,90318934.733
31.997,9.963,57.715,0.007,0.318,1016324096,8875892736,211935232,6432681984,84124944.600,84105308.667
30.548,10.740,58.380,0.020,0.312,1043124224,8849084416,211943424,6432681984,81943847.967,81355154.333
31.296,9.557,58.843,0.007,0.298,1024552960,8867655680,211943424,6432681984,84505446.500,84349105.133
33.898,9.059,56.698,0.014,0.332,1024839680,8867368960,211943424,6432677888,86020521.333,86705427.267
33.579,9.379,56.730,0.007,0.305,1016446976,8875757568,211947520,6432681984,88769906.800,88751880.867
34.927,9.822,54.918,0.014,0.319,1023717376,8868483072,211951616,6432681984,92466425.933,92449456.067
33.170,10.113,56.404,0.007,0.305,895643648,8996552704,211955712,6432845824,81374499.267,81356623.300
58.523,4.675,36.572,0.007,0.223,1123876864,8768307200,211968000,6432681984,14807867.933,14794370.200
31.929,9.012,58.734,0,0.326,1138593792,8753582080,211976192,6432681984,87821224.667,87714705.267
33.811,9.157,56.666,0.041,0.326,1137197056,8754962432,211988480,6432686080,86344101.633,86244617.267
32.479,9.451,57.737,0.007,0.326,1089773568,8802381824,211992576,6432686080,88447176.800,88605543.133
33.150,9.675,56.821,0.020,0.333,1157894144,8734257152,211996672,6432686080,87820885.567,87658060.333
33.464,9.234,56.969,0.014,0.319,1154936832,8737210368,212000768,6432686080,89518590.333,88902362.067
33.773,9.609,56.279,0.007,0.333,1189588992,8702550016,212008960,6432686080,87075385.133,86862324.067
32.975,9.250,57.449,0.007,0.319,1146834944,8745299968,212013056,6432874496,86967403.633,87892951.533
33.907,9.748,56.013,0.007,0.326,1140457472,8751673344,212017152,6429773824,91518848.067,90557843.067
56.112,2.999,40.667,0.007,0.216,195457024,9696661504,212025344,6428676096,4662256.800,5591629.633
0,0.007,99.847,0.007,0.140,195428352,9696686080,212029440,6428676096,12522.033,291.667
0.007,0.007,99.840,0.013,0.133,195424256,9696686080,212033536,6428676096,12088.167,309
0.013,0.033,99.727,0.053,0.173,195399680,9696686080,212058112,6428676096,12303.033,303.267
0,0.007,99.787,0.027,0.180,195391488,9696686080,212066304,6428676096,11910.167,290.267
