"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat -c -m -n --output task_b_256.csv 30",,,,"Date:","09 Oct 2021 13:51:39 CDT"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","buff","cach","recv","send"
0.819,0.223,98.765,0.016,0.178,247615488,10771369984,195149824,5357223936,0,0
12.360,4.651,82.768,0.013,0.207,1297580032,9721397248,195153920,5373034496,3712260.800,3700514.267
45.048,7.241,47.509,0,0.202,1363898368,9655078912,195153920,5373034496,36992734.867,36981993.067
46.966,6.236,46.583,0.013,0.202,1413513216,9605455872,195162112,5373034496,38797262.867,37840679.933
50.236,5.188,44.341,0.020,0.215,1351540736,9667420160,195170304,5373034496,38888055.100,39820005.467
45.170,5.163,49.472,0.007,0.188,1391427584,9627533312,195170304,5373034496,36994889.633,36981673.933
51.153,6.352,42.293,0.013,0.188,1429000192,9589956608,195174400,5373034496,25899543.433,25887228.933
27.333,0.548,71.959,0.040,0.120,173412352,10845523968,195194880,5357228032,12338.800,368
0,0.007,99.840,0.013,0.140,173408256,10845523968,195198976,5357228032,10613.767,314.533
