"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat -c -m -n --output 1w_256_node0.csv 30",,,,"Date:","10 Oct 2021 03:07:45 CDT"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","buff","cach","recv","send"
2.203,0.309,97.294,0.016,0.178,1283264512,8625344512,203948032,6444597248,0,0
64.588,10.761,24.490,0.013,0.147,1368231936,8540364800,203956224,6444466176,15142.567,335.867
62.376,11.985,25.479,0.013,0.147,1184452608,8724168704,203964416,6444466176,12908.467,320.733
63.310,11.615,24.908,0.007,0.160,1284415488,8624201728,203968512,6444326912,15319.767,324.700
64.680,10.698,24.469,0.007,0.147,1258254336,8650326016,203972608,6444605440,12653.133,315.733
63.653,11.278,24.875,0.047,0.147,1317912576,8590598144,203988992,6444466176,13610.833,315.533
63.060,11.795,24.972,0.020,0.154,1343934464,8564551680,203997184,6444609536,12737.100,307.133
63.789,11.104,24.953,0,0.154,1343803392,8564678656,204001280,6444470272,12462.767,307.067
62.487,12.032,25.327,0.007,0.147,1293639680,8614801408,204009472,6444609536,12716.200,315.867
63.168,11.718,24.933,0.020,0.160,1343913984,8564600832,204017664,6444466176,14519.033,307.067
62.978,11.622,25.220,0.013,0.167,1227116544,8681390080,204025856,6444470272,12394.033,310.533
62.707,11.952,25.167,0.007,0.167,1343643648,8564953088,204034048,6444331008,13031.600,319.600
63.118,11.594,25.147,0.007,0.134,1343889408,8564699136,204042240,6444605440,13900.233,307.067
62.256,12.216,25.368,0.007,0.154,1304264704,8604315648,204050432,6439157760,17957.800,322.767
53.037,12.902,33.908,0.007,0.147,1283166208,8625393664,204054528,6444609536,13240.667,329.667
15.348,3.637,80.735,0.100,0.180,183824384,9724682240,204107776,6428663808,12931.300,344.300
0.013,0.013,99.813,0.033,0.127,183812096,9724682240,204120064,6428663808,12309.667,313.733
