"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat -c -m -n --output batch_128_node0.csv 30",,,,"Date:","10 Oct 2021 01:28:55 CDT"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","buff","cach","recv","send"
1.881,0.288,97.638,0.016,0.177,1042128896,8867995648,202661888,6436454400,0,0
58.263,7.801,33.700,0.007,0.229,1112432640,8797683712,202665984,6436458496,36998169.633,37008461.667
56.894,6.999,35.871,0.013,0.223,1089236992,8820875264,202670080,6436458496,35219322.633,35230095.867
57.268,5.455,37.040,0.014,0.223,1071808512,8838299648,202674176,6436458496,35219906.100,35230857.533
57.603,6.430,35.731,0.007,0.230,1061494784,8848601088,202686464,6436458496,37072875.433,37084719.933
57.328,7.324,35.118,0.020,0.209,972271616,8937754624,202690560,6436630528,27810431.900,27813026.933
44.569,3.745,51.539,0.020,0.127,184057856,9726009344,202698752,6428516352,16086.633,385.400
0.007,0.047,99.747,0.007,0.193,184049664,9726017536,202698752,6428516352,15538.200,313.867
0,0.033,99.780,0.007,0.180,184041472,9726017536,202706944,6428516352,14386.467,303.667
0.027,0.047,99.747,0.013,0.167,184037376,9726017536,202711040,6428516352,13965.433,303.667
0.020,0.053,99.727,0.007,0.193,183918592,9726136320,202711040,6428516352,13463.933,322.567
0.027,0.033,99.740,0.007,0.193,183906304,9726144512,202715136,6428516352,14206,305.867
0.027,0.027,99.760,0.007,0.180,183898112,9726144512,202723328,6428516352,13598.667,313.733
0.020,0.087,99.680,0.027,0.187,184004608,9726017536,202743808,6428516352,13077.033,332.400
