"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.karois-a2.uwmadison744-f21-pg0.wisc.cloudlab.us",,,,"User:","Roopa"
"Cmdline:","dstat -c -m -n --output e2_64_node0.csv 30",,,,"Date:","10 Oct 2021 02:01:28 CDT"
"total cpu usage",,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","stl","used","free","buff","cach","recv","send"
1.952,0.294,97.562,0.016,0.177,911011840,8998526976,203104256,6432616448,0,0
55.490,3.556,40.656,0,0.299,947310592,8962215936,203112448,6432620544,52600715.533,52627875
54.772,3.535,41.381,0.007,0.306,980701184,8928817152,203120640,6432620544,55378214.700,55393412.067
56.889,3.574,39.210,0.007,0.320,897572864,9011945472,203120640,6432620544,57450118.533,57477565.867
53.564,3.751,42.373,0.014,0.298,974983168,8934531072,203124736,6432620544,51899019.800,51919128.933
56.516,3.721,39.465,0.014,0.285,965443584,8944066560,203128832,6432620544,54218379.933,54257801.367
55.616,3.913,40.180,0,0.291,913141760,8996368384,203128832,6432219136,53282801.500,53288169.333
68.499,4.278,27.069,0.007,0.148,933068800,8976433152,203137024,6432620544,9279103.767,9271737.467
57.296,3.317,39.075,0.007,0.305,1104203776,8805285888,203149312,6432620544,53157592.767,53209028.867
58.122,2.704,38.854,0.007,0.313,1130328064,8779157504,203153408,6432620544,56194971.667,56190569.533
58.095,2.591,38.995,0.007,0.313,1130717184,8778764288,203157504,6432808960,55602168.533,55627191.467
54.478,2.283,42.947,0.007,0.285,1132601344,8776871936,203165696,6432620544,51897491.600,51918584.867
55.235,2.665,41.794,0.007,0.298,1132572672,8776896512,203169792,6432620544,53805797.900,53837316.867
58.460,2.637,38.570,0.007,0.326,1133789184,8775675904,203173888,6432620544,53965089.867,53975348.200
64.255,3.310,32.165,0.014,0.257,965136384,8944320512,203182080,6432808960,38652268.767,38669549.067
36.280,0.694,62.898,0.027,0.100,184209408,9725231104,203198464,6428610560,14865.533,384.500
